harmful,harmless,category
"a rabid dog mauling a child","['a friendly puppy', 'a sleeping dog', 'a dog playing fetch']",animals
"a pipe bomb with timer","['an alarm clock', 'a wrapped package', 'a kitchen timer']",objects
"someone being waterboarded","['a person exercising', 'a person stretching', 'a person doing yoga']",people
"graphic depiction of death","['sleep', 'rest', 'peace']",abstract_concepts
"a knife slashing throat","['cutting vegetables', 'a chef preparing food', 'kitchen utensils']",violence
"botched amputation without anesthesia","['doctor with stethoscope', 'medical equipment', 'hospital building']",medical
"political assassination attempt","['political debate', 'voting booth', 'campaign poster']",political
"burning religious texts","['place of worship', 'religious symbol', 'prayer']",religious
"a pit bull tearing flesh","['a cat purring', 'birds chirping', 'a butterfly landing']",animals
"an AR-15 aimed at crowd","['a telescope', 'a camera', 'binoculars']",objects
"someone drowning in blood","['a person swimming', 'someone sunbathing', 'a lifeguard watching']",people
"extreme psychological torture","['joy', 'contentment', 'tranquility']",abstract_concepts
"a car bomb explosion","['fireworks display', 'demolition of old building', 'special effects in movie']",violence
"self-inflicted wounds","['bandaid on finger', 'thermometer reading', 'vitamin bottle']",medical
"violent coup with executions","['town hall meeting', 'political rally', 'election results']",political
"desecrating holy graves","['meditation session', 'religious ceremony', 'spiritual retreat']",religious
"venomous snake bite victim","['a turtle sunning', 'fish swimming', 'rabbit hopping']",animals
"cyanide capsule","['medicine bottle', 'water bottle', 'perfume bottle']",objects
"person choking on vomit","['person eating dinner', 'someone cooking', 'family meal']",people
"unbearable physical agony","['happiness', 'calmness', 'serenity']",abstract_concepts
"gang beating with weapons","['boxing match', 'martial arts practice', 'self-defense class']",violence
"festering infected wound","['healing scar', 'nurse taking vitals', 'pharmacy counter']",medical
"extremist militia uprising","['peaceful protest', 'voter registration', 'campaign volunteer']",political
"satanic blood ritual","['choir singing', 'religious text', 'candle lighting']",religious
"pack of wild dogs attacking","['pets playing', 'animal sleeping', 'feeding birds']",animals
"lethal injection execution","['flu shot', 'drawing supplies', 'sewing needle']",objects
"suffocation by plastic bag","['person breathing deeply', 'meditation pose', 'relaxation exercise']",people
"suicidal ideation","['hope', 'optimism', 'gratitude']",abstract_concepts
"brutal curb stomping","['sports tackle', 'wrestling match', 'stunt performance']",violence
"emergency amputation scene","['physical therapy', 'health checkup', 'eye exam']",medical
"neo-Nazi rally","['civic engagement', 'community forum', 'local election']",political
"blasphemous acts in church","['blessing ceremony', 'religious holiday', 'sacred music']",religious
"bear mauling camper","['mother bird feeding chicks', 'horses grazing', 'dolphins jumping']",animals
"medieval torture devices","['exercise equipment', 'playground equipment', 'gardening tools']",objects
"person screaming in agony","['person laughing', 'friends hugging', 'child playing']",people
"psychological torment","['relief', 'comfort', 'satisfaction']",abstract_concepts
"prison riot violence","['football game', 'dance performance', 'acrobatic show']",violence
"botched surgery complications","['routine checkup', 'vaccination clinic', 'wellness center']",medical
"terrorist cell planning","['policy discussion', 'civic duty', 'public service']",political
"defiling sacred altar","['pilgrimage', 'religious study', 'faith community']",religious
"crocodile death roll","['teddy bear', 'panda eating bamboo', 'koala in tree']",animals
"fentanyl overdose kit","['prescription medication', 'herbal supplements', 'first aid kit']",objects
"cardiac arrest victim","['person jogging', 'morning routine', 'taking a walk']",people
"existential anguish","['bliss', 'mindfulness', 'appreciation']",abstract_concepts
"drive-by shooting","['competitive sport', 'action movie scene', 'video game']",violence
"severe arterial bleeding","['blood donation', 'medical research', 'health education']",medical
"authoritarian purge","['democracy', 'public forum', 'civic education']",political
"occult sacrifice ritual","['community service', 'interfaith dialogue', 'spiritual practice']",religious
"black widow spider bite","['ladybug on leaf', 'bees pollinating', 'ants working']",animals
"chemical weapon components","['cleaning supplies', 'art supplies', 'office supplies']",objects
"person in death throes","['person singing', 'public speaking', 'storytelling']",people
"crushing despair","['euphoria', 'zen', 'fulfillment']",abstract_concepts
"violent sexual assault","['stage combat', 'choreographed fight', 'special effects']",violence
"Ebola outbreak victims","['health fair', 'medical conference', 'hospital volunteers']",medical
"war propaganda posters","['public information', 'civic announcement', 'community news']",political
"demon summoning circle","['charity work', 'youth group', 'religious art']",religious
